Feathercoin;0.114986
Novacoin;3.28
Litecoin;2.11
GoldCoin;0.001155
Terracoin;0.16598
WorldCoin;0.009473
BitBar;5.97
Digitalcoin;0.029874
Freicoin;0.017913
Mincoin;0.033933
Peercoin;0.110456
Bitcoin;99.51
Namecoin;0.395055
Feathercoin;0.108466
Novacoin;3.25
Litecoin;2.13
GoldCoin;0.001462
Terracoin;0.160211
WorldCoin;0.008048
BitBar;5.19
Digitalcoin;0.033663
Freicoin;0.019775
Mincoin;0.02034
Peercoin;0.114921
Bitcoin;101.7
Namecoin;0.39663
Feathercoin;0.109836
Novacoin;3.33
Litecoin;2.28
GoldCoin;0.001593
Terracoin;0.158652
Bitcoin;107.4
WorldCoin;0.008504
BitBar;5.91
Digitalcoin;0.036623
Freicoin;0.019333
Mincoin;0.021482
Peercoin;0.117066
Namecoin;0.40812
Feathercoin;0.100956
Novacoin;3.43
Litecoin;2.31
GoldCoin;0.001237
Terracoin;0.149286
Bitcoin;108.25
WorldCoin;0.009011
BitBar;6.17
Digitalcoin;0.037455
Freicoin;0.019485
Mincoin;0.016995
Peercoin;0.123405
Namecoin;0.591047
Feathercoin;0.100673
Novacoin;3.57
Litecoin;2.3
GoldCoin;0.001361
Terracoin;0.146138
Bitcoin;110.15
WorldCoin;0.009473
Ixcoin;0.004076
BitBar;6.38
Digitalcoin;0.032065
Freicoin;0.01763
Mincoin;0.017956
Peercoin;0.133282
Namecoin;0.561765
Feathercoin;0.101338
Novacoin;3.62
Litecoin;2.29
GoldCoin;0.001426
Terracoin;0.152007
Bitcoin;109.5
WorldCoin;0.009889
Ixcoin;0.0047
BitBar;9.2
Digitalcoin;0.030222
Freicoin;0.016425
Mincoin;0.01785
Peercoin;0.128115
Namecoin;0.533265
Feathercoin;0.09417
Novacoin;3.51
Litecoin;2.87
GoldCoin;0.001456
Terracoin;0.14892
Bitcoin;108.3
WorldCoin;0.009802
Ixcoin;0.00436
BitBar;6.61
Digitalcoin;0.029242
Freicoin;0.016785
Mincoin;0.021663
Peercoin;0.123462
Namecoin;0.565326
Feathercoin;0.084474
Novacoin;3.5
Litecoin;2.92
GoldCoin;0.001018
Terracoin;0.137541
Bitcoin;107.6
WorldCoin;0.009766
Ixcoin;0.00495
BitBar;6.56
Digitalcoin;0.028192
Freicoin;0.01259
Mincoin;0.021525
Peercoin;0.121588
Namecoin;0.562748
Feathercoin;0.098992
Novacoin;3.5
Litecoin;3.12
GoldCoin;0.001188
Terracoin;0.13988
Bitcoin;102.74
WorldCoin;0.009463
Ixcoin;0.003906
BitBar;5.86
Digitalcoin;0.026199
Freicoin;0.014676
Mincoin;0.020558
Peercoin;0.12123
Namecoin;0.57841
Feathercoin;0.095546
Novacoin;3.3
Litecoin;2.87
GoldCoin;0.00119
Terracoin;0.131503
Bitcoin;103.95
WorldCoin;0.009627
Ixcoin;0.003735
BitBar;5.93
Digitalcoin;0.026775
Freicoin;0.014033
Mincoin;0.030144
Peercoin;0.1237
Namecoin;0.592515
Feathercoin;0.090437
Novacoin;3.34
Litecoin;2.82
GoldCoin;0.000952
Terracoin;0.138253
Bitcoin;104
WorldCoin;0.009688
Ixcoin;0.004
BitBar;6.14
Digitalcoin;0.024336
Freicoin;0.0156
Mincoin;0.0312
Peercoin;0.1248
Namecoin;0.5876
Feathercoin;0.088508
Novacoin;3.36
Litecoin;2.86
GoldCoin;0.001027
Terracoin;0.13624
Bitcoin;101.44
WorldCoin;0.009124
Ixcoin;0.003756
BitBar;5.86
Digitalcoin;0.03246
Freicoin;0.011259
Mincoin;0.030431
Peercoin;0.124768
Namecoin;0.566019
Feathercoin;0.086222
Novacoin;3.29
Litecoin;3.02
GoldCoin;0.000742
Terracoin;0.133897
Bitcoin;94.65
WorldCoin;0.007582
Ixcoin;0.003785
BitBar;5.4
Digitalcoin;0.028396
Freicoin;0.011358
Mincoin;0.032181
Peercoin;0.119258
Namecoin;0.510159
Feathercoin;0.078559
Novacoin;3.03
Litecoin;2.75
GoldCoin;0.000662
Terracoin;0.12399
WorldCoin;0.007888
Ixcoin;0.003505
BitBar;5.7
Digitalcoin;0.026693
Freicoin;0.013299
Mincoin;0.032584
Peercoin;0.118742
Bitcoin;94.99
Namecoin;0.508218
Feathercoin;0.076945
Novacoin;3.08
Litecoin;2.79
GoldCoin;0.000442
Terracoin;0.124442
WorldCoin;0.007942
Ixcoin;0.003671
BitBar;5.91
Digitalcoin;0.026185
Freicoin;0.01256
Mincoin;0.037196
Peercoin;0.121734
Bitcoin;96.61
Namecoin;0.501427
Feathercoin;0.078257
Novacoin;3.09
Litecoin;2.98
GoldCoin;0.000388
Terracoin;0.130429
WorldCoin;0.005284
Ixcoin;0.002908
BitBar;5.31
Digitalcoin;0.022453
Freicoin;0.009687
Mincoin;0.029057
Peercoin;0.12327
Bitcoin;88.05
Namecoin;0.466665
Feathercoin;0.068679
Novacoin;2.83
Litecoin;2.95
GoldCoin;0.000437
Terracoin;0.117987
WorldCoin;0.006224
Ixcoin;0.003064
BitBar;5.43
Digitalcoin;0.023796
Freicoin;0.010996
Mincoin;0.030647
Peercoin;0.146017
Bitcoin;90.13
Namecoin;0.473204
Feathercoin;0.071206
Novacoin;2.88
Litecoin;2.83
GoldCoin;0.000429
Terracoin;0.127089
WorldCoin;0.005428
Ixcoin;0.002729
BitBar;4.81
Digitalcoin;0.020158
Freicoin;0.008924
Mincoin;0.026362
Peercoin;0.151184
Bitcoin;77.53
Namecoin;0.423314
Feathercoin;0.069777
Novacoin;2.48
Litecoin;2.62
GoldCoin;0.000423
Terracoin;0.124048
WorldCoin;0.005839
Ixcoin;0.002851
BitBar;4.99
Phoenixcoin;0.012482
Digitalcoin;0.019487
Freicoin;0.009301
Fastcoin;0.001007
Mincoin;0.027383
Peercoin;0.158636
Bitcoin;80.53
Namecoin;0.461413
Feathercoin;0.082136
Novacoin;2.68
Litecoin;2.73
GoldCoin;0.000434
Terracoin;0.191651
Argentum;0.007455
WorldCoin;0.005066
Ixcoin;0.002444
BitBar;4.13
Phoenixcoin;0.011633
Digitalcoin;0.017724
Freicoin;0.007906
Fastcoin;0.000789
Mincoin;0.020529
Peercoin;0.139599
Bitcoin;68.43
Namecoin;0.438643
Feathercoin;0.072537
Novacoin;2.52
Litecoin;2.43
GoldCoin;0.000401
Terracoin;0.184764
Argentum;0.01095
WorldCoin;0.005446
Ixcoin;0.002396
BitBar;4.01
Phoenixcoin;0.010686
Digitalcoin;0.018274
Freicoin;0.008159
Fastcoin;0.001387
Mincoin;0.023423
Peercoin;0.13423
Bitcoin;70.28
Namecoin;0.465236
Feathercoin;0.074494
Novacoin;2.81
Litecoin;2.52
GoldCoin;0.000415
Terracoin;0.184127
Argentum;0.010893
WorldCoin;0.005711
Ixcoin;0.003335
BitBar;3.73
Phoenixcoin;0.011855
Digitalcoin;0.021548
Megacoin;0.00314
Freicoin;0.010069
Fastcoin;0.001215
Mincoin;0.029915
Peercoin;0.131973
Bitcoin;74.56
Namecoin;0.436928
Feathercoin;0.075307
Novacoin;2.84
Litecoin;2.66
GoldCoin;0.000453
Terracoin;0.167017
Argentum;0.013048
WorldCoin;0.00658
Ixcoin;0.00336
BitBar;3.83
Phoenixcoin;0.013009
Digitalcoin;0.022192
Megacoin;0.003903
Freicoin;0.010598
Fastcoin;0.001569
Mincoin;0.032988
Peercoin;0.134668
Bitcoin;76.52
Namecoin;0.444558
Feathercoin;0.073455
Novacoin;3.04
Litecoin;2.61
GoldCoin;0.000436
Terracoin;0.16604
Argentum;0.015066
WorldCoin;0.006596
Ixcoin;0.003187
BitBar;3.07
Phoenixcoin;0.012655
Digitalcoin;0.029105
Megacoin;0.004458
Freicoin;0.010623
Fastcoin;0.00124
Mincoin;0.033071
Peercoin;0.129613
Bitcoin;76.69
Namecoin;0.44866
Feathercoin;0.07516
Novacoin;3.3
Litecoin;2.61
GoldCoin;0.000519
Terracoin;0.154922
Argentum;0.013806
WorldCoin;0.008069
Ixcoin;0.003644
BitBar;4.77
Phoenixcoin;0.014836
Digitalcoin;0.048499
Megacoin;0.004974
Freicoin;0.012016
Fastcoin;0.001503
Mincoin;0.023425
Peercoin;0.143154
Bitcoin;86.76
Infinitecoin;8.7e-07
Namecoin;0.472842
Feathercoin;0.081554
Novacoin;3.54
Litecoin;2.81
GoldCoin;0.000488
Terracoin;0.157036
Argentum;0.019963
WorldCoin;0.008897
Ixcoin;0.00445
BitBar;3.21
Phoenixcoin;0.029016
Digitalcoin;0.045589
Megacoin;0.004274
Freicoin;0.012324
Fastcoin;0.001514
Mincoin;0.031052
Peercoin;0.13525
Infinitecoin;8.9e-07
Bitcoin;88.98
Primecoin;0.53388
Namecoin;0.507186
Feathercoin;0.086311
Novacoin;3.76
Litecoin;2.73
GoldCoin;0.000591
Terracoin;0.158384
Argentum;0.037372
